match_no,play_stage,team_id,win_lose,decided_by,goal_score,penalty_score,ass_ref,player_gk,country_id
1,G,1207,W,N,2,,80016,160140,1201
1,G,1216,L,N,1,,80020,160348,1202
2,G,1201,L,N,0,,80003,160001,1203
2,G,1221,W,N,1,,80023,160463,1204
3,G,1224,W,N,2,,80031,160532,1205
3,G,1218,L,N,1,,80025,160392,1206
4,G,1206,D,N,1,,80008,160117,1207
4,G,1217,D,N,1,,80019,160369,1208
5,G,1222,L,N,0,,80011,160486,1209
5,G,1204,W,N,1,,80022,160071,1210
6,G,1213,W,N,1,,80036,160279,1211
6,G,1212,L,N,0,,80029,160256,1212
7,G,1208,W,N,2,,80014,160163,1213
7,G,1223,L,N,0,,80006,160508,1214
8,G,1219,W,N,1,,80018,160416,1215
8,G,1205,L,N,0,,80012,160093,1216
9,G,1215,D,N,1,,80017,160324,1217
9,G,1220,D,N,1,,80010,160439,1218
10,G,1203,L,N,0,,80004,160047,1219
10,G,1211,W,N,2,,80007,160231,1220
11,G,1202,L,N,0,,80026,160024,1221
11,G,1209,W,N,2,,80028,160187,1222
12,G,1214,D,N,1,,80009,160302,1223
12,G,1210,D,N,1,,80015,160208,1224
13,G,1217,L,N,1,,80001,160369,1225
13,G,1218,W,N,2,,80002,160392,1226
14,G,1216,D,N,1,,80030,160348,1227
14,G,1221,D,N,1,,80032,160463,1228
15,G,1207,W,N,2,,80033,160140,1229
15,G,1201,L,N,0,,80027,160001,1201
16,G,1206,W,N,2,,80005,160117,1202
16,G,1224,L,N,1,,80013,160531,1203
17,G,1223,L,N,0,,80035,160508,1204
17,G,1212,W,N,2,,80034,160256,1205
18,G,1208,D,N,0,,80021,160163,1206
18,G,1213,D,N,0,,80024,160278,1207
19,G,1211,W,N,1,,80016,160231,1208
19,G,1220,L,N,0,,80020,160439,1209
20,G,1205,D,N,2,,80004,160093,1210
20,G,1204,D,N,2,,80007,160071,1211
21,G,1219,W,N,3,,80017,160416,1212
21,G,1222,L,N,0,,80010,160486,1213
22,G,1203,W,N,3,,80009,160047,1214
22,G,1215,L,N,0,,80015,160324,1215
23,G,1210,D,N,1,,80030,160208,1216
23,G,1209,D,N,1,,80032,160187,1217
24,G,1214,D,N,0,,80008,160302,1218
24,G,1202,D,N,0,,80019,160024,1219
25,G,1216,L,N,0,,80035,160348,1220
25,G,1201,W,N,1,,80034,160001,1221
26,G,1221,D,N,0,,80001,160463,1222
26,G,1207,D,N,0,,80002,160140,1223
27,G,1217,L,N,0,,80011,160369,1224
27,G,1224,W,N,3,,80022,160531,1225
28,G,1218,D,N,0,,80003,160392,1226
28,G,1206,D,N,0,,80023,160117,1227
29,G,1223,L,N,0,,80031,160508,1228
29,G,1213,W,N,1,,80025,160278,1229
30,G,1212,L,N,0,,80026,160256,1201
30,G,1208,W,N,1,,80028,160163,1202
31,G,1205,L,N,0,,80033,160093,1203
31,G,1222,W,N,2,,80027,160486,1204
32,G,1204,W,N,2,,80021,160071,1205
32,G,1219,L,N,1,,80024,160416,1206
33,G,1210,W,N,2,,80018,160208,1207
33,G,1202,L,N,1,,80012,160024,1208
34,G,1209,D,N,3,,80014,160187,1209
34,G,1214,D,N,3,,80006,160302,1210
35,G,1211,L,N,0,,80036,160233,1211
35,G,1215,W,N,1,,80029,160324,1212
36,G,1220,L,N,0,,80005,160439,1213
36,G,1203,W,N,1,,80013,160047,1214
37,R,1221,L,P,1,4,80004,160463,1215
37,R,1213,W,P,1,5,80007,160278,1216
38,R,1224,W,N,1,,80014,160531,1217
38,R,1212,L,N,0,,80006,160256,1218
39,R,1204,L,N,0,,80003,160071,1219
39,R,1214,W,N,1,,80023,160302,1220
40,R,1207,W,N,2,,80008,160140,1221
40,R,1215,L,N,1,,80019,160324,1222
41,R,1208,W,N,3,,80018,160163,1223
41,R,1218,L,N,0,,80012,160392,1224
42,R,1209,L,N,0,,80017,160187,1225
42,R,1203,W,N,4,,80010,160047,1226
43,R,1211,W,N,2,,80009,160231,1227
43,R,1219,L,N,0,,80015,160416,1228
44,R,1206,L,N,1,,80001,160117,1229
44,R,1210,W,N,2,,80002,160208,1201
45,Q,1213,L,P,1,3,80005,160278,1202
45,Q,1214,W,P,1,5,80013,160302,1203
46,Q,1224,W,N,3,,80001,160531,1204
46,Q,1203,L,N,1,,80002,160047,1205
47,Q,1208,W,P,1,6,80016,160163,1206
47,Q,1211,L,P,1,5,80020,160231,1207
48,Q,1207,W,N,5,,80021,160140,1208
48,Q,1210,L,N,2,,80024,160208,1209
49,S,1214,W,N,2,,80011,160302,1210
49,S,1224,L,N,0,,80022,160531,1211
50,S,1207,W,N,2,,80008,160140,1212
50,S,1208,L,N,1,,80019,160163,1213
51,F,1214,W,N,1,,80004,160302,1214
51,F,1207,L,N,0,,80007,160140,1215
